sales_month,sku,monthly_units_sum,month,monthly_sales,l15day_sales,l7day_sales,monthly_sales_bb,l15day_sales_bb,l7day_sales_bb,monthly_orders_bb,l15day_orders_bb,l7day_orders_bb,monthly_orders,l15day_orders,l7day_orders,monthly_units_ordered,l15day_units_ordered,l7day_units_ordered,monthly_units_ordered_bb,l15day_units_ordered_bb,l7day_units_ordered_bb,mon_unit_session_per_bb,l15day_unit_session_per_bb,l7day_unit_session_per_bb,mon_sessions,l15day_sessions,l7day_sessions,mon_page_views,l15day_page_views,l7day_page_views,rec_bb_per,monthly_bb_per,l15day_bb_per,l7day_bb_per,monthly_pv_per,l15day_pv_per,l7day_pv_per,rec_rank,rec_merc_listings,rec_fba_listing,old_rank,old_merc_listings,old_fba_listing,avg_rank_l15,avg_rank_monthly,avg_rank_f15,avg_merc_listings_l15,avg_merc_listings_f15,avg_merc_listings_monthly,avg_fbalistings_listings_l15,avg_fbalistings_listings_f15,avg_fbalistings_monthly,category,category_o
5,FBA-3131-0005,31,4,462,182,98,14,14,0,1,1,0,32,12,6,33,13,7,1,1,0,7.69,7.69,0,188,90,44,233,116,53,67,67.95,23.65,13.55,0.0035,0.002,0.0005,26005,0,0,30567,0,0,14144.821429,28256.607143,14111.785714,0,0,,0,0,,Pet Products,Pet Products
6,FBA-3131-0005,51,5,434,210,126,0,0,0,0,0,0,30,14,8,31,15,9,0,0,0,0,0,0,161,58,24,207,75,36,0,68.3,29.2,9.6,0.0045,0.002,0.001,13119,0,0,27237,0,0,16687.185185,34138.888889,17451.703704,0,0,,0,0,,Pet Products,Pet Products
7,FBA-3131-0005,57,6,714,574,336,0,0,0,0,0,0,51,41,24,51,41,24,0,0,0,0,0,0,229,158,90,301,214,124,100,77.652173913,59.217391304,30.434782609,0.0047826087,0.0043478261,0.0026086957,17621,0,0,22839,0,0,12304.846154,30429.923077,18125.076923,0,0,,0,0,,Pet Products,Pet Products
6,FBA-3131-0006,9,5,36.51,36.51,36.51,0,0,0,0,0,0,3,3,3,3,3,3,0,0,0,0,0,0,4,4,4,4,4,4,0,50,50,50,0,0,0,36230,0,0,86708,0,0,38281.703704,91084.481481,52802.777778,0,0,,0,0,,Pet Products,Pet Products
7,FBA-3131-0006,12,6,116.91,103.92,51.96,0,0,0,0,0,0,9,8,4,9,8,4,0,0,0,0,0,0,10,8,4,12,10,5,100,100,80,40,0,0,0,100046,0,0,40853,0,0,47597.538462,90315.076923,42717.538462,0,0,,0,0,,Pet Products,Pet Products
6,FBA-3131-0007,10,5,394.95,394.95,236.97,0,0,0,0,0,0,5,5,3,5,5,3,0,0,0,0,0,0,16,16,8,34,34,14,100,95.5,95.5,47.25,0.0025,0.0025,0,80803,0,0,77031,0,0,40039.555556,111013.88889,70974.333333,0,0,,0,0,,Pet Products,Pet Products
7,FBA-3131-0007,5,6,789.9,473.94,236.97,0,0,0,0,0,0,10,6,3,10,6,3,0,0,0,0,0,0,38,30,11,54,40,12,100,97.875,75,37.5,0,0,0,77126,0,0,98556,0,0,48384.230769,105343.46154,56959.230769,0,0,,0,0,,Pet Products,Pet Products
6,FBA-3131-0008,2,5,24.7,24.7,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,5,5,0,6,6,0,100,100,100,0,0,0,0,94436,0,0,143607,0,0,54759.037037,119915.22222,65156.185185,0,0,,0,0,,Pet Products,Pet Products
7,FBA-3131-0008,10,6,38.86,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,5,0,0,5,0,0,100,62.5,0,0,0,0,0,50341,0,0,109728,0,0,58709.461538,104311.23077,45601.769231,0,0,,0,0,,Pet Products,Pet Products
6,FBA-3131-0009,5,5,416.15,416.15,249.69,0,0,0,0,0,0,5,5,3,5,5,3,0,0,0,0,0,0,9,9,6,27,27,10,100,100,100,50,0,0,0,81937,0,0,65764,0,0,51405.592593,125587.14815,74181.555556,0,0,,0,0,,Pet Products,Pet Products
